param	prg	level	algname	sk	pk	sig
1q127L3	aes	1	qruov1q127l3v156m54aes	32	24256	200
1q127L3	shake	1	qruov1q127l3v156m54shake	32	24256	200
1q127L10	aes	1	qruov1q127l10v540m60aes	32	11041	541
1q127L10	shake	1	qruov1q127l10v540m60shake	32	11041	541
1q31L3	aes	1	qruov1q31l3v165m60aes	32	23641	157
1q31L3	shake	1	qruov1q31l3v165m60shake	32	23641	157
1q31L10	aes	1	qruov1q31l10v600m70aes	32	12266	435
1q31L10	shake	1	qruov1q31l10v600m70shake	32	12266	435
1q7L10	aes	1	qruov1q7l10v740m100aes	32	20641	331
1q7L10	shake	1	qruov1q7l10v740m100shake	32	20641	331
3q127L3	aes	3	qruov3q127l3v228m78aes	32	71884	292
3q127L3	shake	3	qruov3q127l3v228m78shake	32	71884	292
3q127L10	aes	3	qruov3q127l10v820m90aes	32	35454	821
3q127L10	shake	3	qruov3q127l10v820m90shake	32	35454	821
3q31L3	aes	3	qruov3q31l3v246m87aes	32	70976	233
3q31L3	shake	3	qruov3q31l3v246m87shake	32	70976	233
3q31L10	aes	3	qruov3q31l10v890m100aes	32	34391	643
3q31L10	shake	3	qruov3q31l10v890m100shake	32	34391	643
3q7L10	aes	3	qruov3q7l10v1100m140aes	32	55141	489
3q7L10	shake	3	qruov3q7l10v1100m140shake	32	55141	489
5q127L3	aes	5	qruov5q127l3v306m105aes	32	173660	392
5q127L3	shake	5	qruov5q127l3v306m105shake	32	173660	392
5q127L10	aes	5	qruov5q127l10v1040m110aes	32	63541	1039
5q127L10	shake	5	qruov5q127l10v1040m110shake	32	63541	1039
5q31L3	aes	5	qruov5q31l3v324m114aes	32	158405	306
5q31L3	shake	5	qruov5q31l3v324m114shake	32	158405	306
5q31L10	aes	5	qruov5q31l10v1120m120aes	32	58516	807
5q31L10	shake	5	qruov5q31l10v1120m120shake	32	58516	807
5q7L10	aes	5	qruov5q7l10v1490m190aes	32	135391	662
5q7L10	shake	5	qruov5q7l10v1490m190shake	32	135391	662
